title,type,genres,releaseYear,imdbId,imdbAverageRating,imdbNumVotes
Ariel,movie,"Comedy, Crime, Romance",1988,tt0094675,7.4,9068.0
Shadows in Paradise,movie,"Comedy, Drama, Music",1986,tt0092149,7.4,7876.0
Forrest Gump,movie,"Drama, Romance",1994,tt0109830,8.8,2364361.0
American Beauty,movie,Drama,1999,tt0169547,8.3,1244684.0
The Fifth Element,movie,"Action, Adventure, Sci-Fi",1997,tt0119116,7.6,524602.0
Kill Bill: Vol. 1,movie,"Action, Crime, Thriller",2003,tt0266697,8.2,1244084.0
Jarhead,movie,"Biography, Drama, War",2005,tt0418763,7.0,214744.0
Unforgiven,movie,"Drama, Western",1992,tt0105695,8.2,452106.0
Eternal Sunshine of the Spotless Mind,movie,"Drama, Romance, Sci-Fi",2004,tt0338013,8.3,1130189.0
Amores Perros,movie,"Drama, Thriller",2000,tt0245712,8.0,262555.0
A History of Violence,movie,"Action, Crime, Drama",2005,tt0399146,7.4,263205.0
Talk to Her,movie,"Drama, Mystery, Romance",2002,tt0287467,7.9,119712.0
8 Mile,movie,"Drama, Music",2002,tt0298203,7.2,336154.0
Paradise Now,movie,"Crime, Drama, Thriller",2005,tt0445620,7.4,24465.0
Million Dollar Baby,movie,"Drama, Sport",2004,tt0405159,8.1,743326.0
American History X,movie,"Crime, Drama",1998,tt0120586,8.5,1226068.0
Mars Attacks!,movie,"Comedy, Sci-Fi",1996,tt0116996,6.4,251258.0
Before Sunrise,movie,"Drama, Romance",1995,tt0112471,8.1,356577.0
Memento,movie,"Mystery, Thriller",2000,tt0209144,8.4,1371623.0
Hero,movie,"Action, Adventure, Drama",2002,tt0299977,7.9,190391.0
Before Sunset,movie,"Drama, Romance",2004,tt0381681,8.1,300416.0
Nausicaä of the Valley of the Wind,movie,"Adventure, Animation, Sci-Fi",1984,tt0087544,8.0,189700.0
Open Water,movie,"Adventure, Drama, Horror",2003,tt0374102,5.8,57772.0
Raiders of the Lost Ark,movie,"Action, Adventure",1981,tt0082971,8.4,1069360.0
Indiana Jones and the Temple of Doom,movie,"Action, Adventure",1984,tt0087469,7.5,550004.0
Dirty Dancing,movie,"Drama, Music, Romance",1987,tt0092890,7.1,268024.0
Indiana Jones and the Last Crusade,movie,"Action, Adventure",1989,tt0097576,8.2,834847.0
